asset_id,github_asset_url,old_filename,upload_filename,youtube_url,reference_paths
0136fd7d-cbb7-42d8-9404-8e64bf597e86,https://github.com/user-attachments/assets/0136fd7d-cbb7-42d8-9404-8e64bf597e86,403084726-a3aa6080-7036-426f-a231-73327fb73128.webm,asset_0136fd7d-cbb7-42d8-9404-8e64bf597e86.webm,https://www.youtube.com/watch?v=nuIlVDHqIsI,2 🏔️ Landscape/1 💼 Business landscape/01 🕵 Profiling landscape/05 📺 Medical records.md
020729fa-ba49-415e-8f29-c1601a0bb09a,https://github.com/user-attachments/assets/020729fa-ba49-415e-8f29-c1601a0bb09a,387418378-4c9beba2-1c03-4d83-bf6f-0651c1957f10.webm,asset_020729fa-ba49-415e-8f29-c1601a0bb09a.webm,https://www.youtube.com/watch?v=g6iopz7SSQA,2 🏔️ Landscape/2 🧑‍🦰 User landscape/10 🤖 Agentic AI landscape/06 📺 Agentic AI tech.md
023fe227-4c03-4dd9-9063-b6406468e34d,https://github.com/user-attachments/assets/023fe227-4c03-4dd9-9063-b6406468e34d,379500160-58a947c5-8ce9-4b60-8ad5-17c88791a33f.webm,asset_023fe227-4c03-4dd9-9063-b6406468e34d.webm,https://www.youtube.com/watch?v=qoY5P_17aNk,2 🏔️ Landscape/2 🧑‍🦰 User landscape/03 🛂 Travel ID landscape/05 📺 IATA's digital ID.md
0277deb5-2c6a-4964-90c1-1e72401052fd,https://github.com/user-attachments/assets/0277deb5-2c6a-4964-90c1-1e72401052fd,379488354-9c9827e7-bee5-4d95-9139-929a350a0b91.webm,asset_0277deb5-2c6a-4964-90c1-1e72401052fd.webm,https://www.youtube.com/watch?v=53OBSAqLbL4,2 🏔️ Landscape/2 🧑‍🦰 User landscape/04 🆔 Digital ID landscape/05 📺 🇦🇺 Australia's DID.md
028a2e0b-a15e-4170-8dcc-d72011bb1def,https://github.com/user-attachments/assets/028a2e0b-a15e-4170-8dcc-d72011bb1def,404409734-e0c66c5d-c32c-4578-ab26-92941a4f8560.webm,asset_028a2e0b-a15e-4170-8dcc-d72011bb1def.webm,https://www.youtube.com/watch?v=-txxWWe4Res,2 🏔️ Landscape/1 💼 Business landscape/03 🔎 Searching landscape/02 📺 Google on iPhones.md
02a04726-91f2-4397-b562-b043dcabe92b,https://github.com/user-attachments/assets/02a04726-91f2-4397-b562-b043dcabe92b,404704369-f81c6dab-5d6d-4dc3-9afe-b9246416428f.webm,asset_02a04726-91f2-4397-b562-b043dcabe92b.webm,https://www.youtube.com/watch?v=VdhBmwr_5uM,2 🏔️ Landscape/1 💼 Business landscape/11 🔆 Scanning landscape/16 📺 NFC dynamic url.md
032ea0f1-35bf-496c-8807-49390f80f605,https://github.com/user-attachments/assets/032ea0f1-35bf-496c-8807-49390f80f605,401284720-5d94b414-a792-471a-9fc0-31f624dd4c11.webm,asset_032ea0f1-35bf-496c-8807-49390f80f605.webm,https://www.youtube.com/watch?v=bjePnwxaKp8,2 🏔️ Landscape/2 🧑‍🦰 User landscape/01 🛰️ Connectivity landscape/01 📺 Starlink @ remote areas.md
03dcd19a-b61e-42f0-bbcd-460171fd1a74,https://github.com/user-attachments/assets/03dcd19a-b61e-42f0-bbcd-460171fd1a74,403617145-018a3bdd-abd1-44cb-b12d-5526aa774ffd.webm,asset_03dcd19a-b61e-42f0-bbcd-460171fd1a74.webm,https://www.youtube.com/watch?v=ZM4insEPyqk,2 🏔️ Landscape/2 🧑‍🦰 User landscape/02 🧢 Personalization landscape/08 📺 SSI zero knowledge proof.md
0497b89f-bd5e-408c-a79d-57cdde683f30,https://github.com/user-attachments/assets/0497b89f-bd5e-408c-a79d-57cdde683f30,405773597-3efbfd6c-85b8-4c7b-a7c8-d6cffc953128.webm,asset_0497b89f-bd5e-408c-a79d-57cdde683f30.webm,https://www.youtube.com/watch?v=3m-H6qzejn4,2 🏔️ Landscape/1 💼 Business landscape/10 💬 Chatting landscape/05 📺 Walmart.md
049894ab-de98-4b97-909c-968f7df49ac1,https://github.com/user-attachments/assets/049894ab-de98-4b97-909c-968f7df49ac1,415685768-ee6e1cc0-04ac-4d0f-8e53-2c215e2fdc31.webm,asset_049894ab-de98-4b97-909c-968f7df49ac1.webm,https://www.youtube.com/watch?v=fBhVO-lWXGA,2 🏔️ Landscape/3 🌳 Ambient landscape/05 🧠 Brain Interfaces/02 📺 🇺🇸 US.md
